Item Name,Category,Description,Daily Rate,Image File,Tags,Colorways
Black Spandex Trash Can Cover,Catering Equipment,Catering Equipment — available in 2 colours.,40.00,cat/3649.jpg,28gallon; can; disposal; trash,2
Glass Chargers,Chargers,Chargers — available in 2 colours.,3.00,cat/3737.jpg,Glass; Gold; Heritage; chargers,2
Gold Rim Crystal,Glassware,Glassware — available in 2 colours.,2.00,cat/2471.jpg,8 oz; champagne; crystal; gold rim,2
Horizon,Chairs,Chairs — available in 2 colours.,8.00,cat/2559.jpg,Chair; Gold; horizon,2
Maylen,Specialty,Specialty — available in 2 colours.,12.00,cat/4050.jpg,buta; green; light olive; olive; paisley,2
Nature's Veil,Specialty,Specialty — available in 2 colours.,12.00,cat/4074.jpg,blue; leaf; specialty,2
Ramekin,China,China — available in 2 colours.,2.00,cat/3667.jpg,White; ramekin; royal; smooth,2
Roll Top Chafer,Serving Pieces,Serving Pieces — available in 2 colours.,6.00,cat/1682.jpg,Rectangle; chafer; rectangular; roll; roll top; top,2
Trash Can,Catering Equipment,Catering Equipment — available in 2 colours.,40.00,cat/2244.jpg,23 gallon; can; disposal; slim jim; trash,2
VCC,Drapery,Drapery — available in 2 colours.,12.00,cat/2586.jpg,,2
Padded Folding Chair,Chairs,Chairs — available in 6 colours.,8.00,cat/412.jpg,Chair; Folding Chair; Padded; Resin; White,6
BASL Ceremony Backdrop Drape,Drapery,Drapery — available in 4 colours.,12.00,cat/2718.jpg,backdrop; barn at shady lane; basl; ceremony; drape,4
Heater,Heating and Cooling,Heating and Cooling — available in 4 colours.,65.00,cat/1582.jpg,,4
Petal Taffeta,Petal Taffeta,Petal Taffeta — available in 4 colours.,12.00,cat/1507.jpg,White; petal taffeta,4
Pipe and Drape,Drapery,Drapery — available in 3 colours.,12.00,cat/3120.jpg,,3
Sheer Brilliance,Specialty,Specialty — available in 3 colours.,12.00,cat/1322.jpg,,3
Vinyl Folding Chair,Chairs,Chairs — available in 3 colours.,8.00,cat/7.jpg,Chair; Folding Chair; Vinyl; White,3
Bread Basket,Serving Ware,Serving Ware — available in 2 colours.,6.00,cat/3280.jpg,bread,2
Carol,Specialty,Specialty — available in 2 colours.,12.00,cat/4076.jpg,Taupe; navy,2
"Cup, Silver",Serving Ware,Serving Ware — available in 2 colours.,6.00,cat/2219.jpg,coffee; cup; hamiltonbeach; silver; urn,2
Gold Bar,Bars & Shelving,Bars & Shelving — available in 2 colours.,60.00,cat/3849.jpg,Round; bar; piece; section,2
Lamour Satin Sashes,Sashes,Sashes — available in 2 colours.,12.00,cat/1550.jpg,Lamour; Rose; Satin; petal; pink; sashes,2
Lattice Laurel,Specialty,Specialty — available in 2 colours.,12.00,cat/4121.jpg,Sage; colette; green; lattice; light blue; olive; specialty,2
Pinspot,Lighting,Lighting — available in 2 colours.,45.00,cat/2061.jpg,,2
Runner French Toile,Runners,Runners — available in 2 colours.,12.00,cat/3241.jpg,White; blue; floral; french; french toile; runner; specialty; toile,2
Stanchion,Conventions/Meetings/Events,Conventions/Meetings/Events — available in 2 colours.,12.00,cat/2115.jpg,,2
White Bar,Bars & Shelving,Bars & Shelving — available in 2 colours.,60.00,cat/3426.jpg,Round; bar; piece; section,2
Abigail,Specialty,Specialty.,12.00,cat/4002.jpg,brisa; coral; light blue; specialty,1
Aluminum Easel,Furniture,Furniture.,35.00,cat/2236.jpg,art; easel; stand,1
BAR HEIGHT Hobbs,Chairs,Chairs.,8.00,cat/4089.jpg,bar; bar height; birch; stool,1
BASL 2 Ceiling Drape-Door to Door Waterfall x4,Drapery,Drapery.,12.00,cat/2610.jpg,barn at shady lane; basl; ceiling; drape,1
BASL Ceiling Drape-Door to Door No Waterfall,Drapery,Drapery.,12.00,cat/2655.jpg,barn at shady lane; basl; ceiling; drape,1
BASL White String Lights,Lighting,Lighting.,45.00,cat/3917.jpg,,1
BMA Ceiling and Wall Drape,Drapery,Drapery.,12.00,cat/2648.jpg,art; bma; ceiling; drape; museum,1
Bali Chair,Chairs,Chairs.,8.00,cat/2324.jpg,Bali; Chair; wood,1
Beverage stand,Furniture,Furniture.,35.00,cat/3910.jpg,Gold; Table; beverage stand; brass; side table,1
Bistro Chair,Chairs,Chairs.,8.00,cat/2326.jpg,Bistro; Black; Chair,1
Black Spandex Bus Tub Cover,Catering Equipment,Catering Equipment.,40.00,cat/3515.jpg,Black; bus; bus tub; dish; tub,1
Black Spandex Trash Can,Catering Equipment,Catering Equipment.,40.00,cat/4024.jpg,23 gallon; can; cover; disposal; slim jim; spandex; trash,1
Black Velour Rope,Conventions/Meetings/Events,Conventions/Meetings/Events.,12.00,cat/2240.jpg,Rope; chrome; silver; stanchion,1
Blue Stemmed Red Wine Glass 10 ounce (crate of 25),Glassware,Glassware.,2.00,cat/2823.jpg,Glass; Red; blue glass; glassware; goblet; red wine,1
Blue Stemmed Tumblr 10 ounce (crate of 25),Glassware,Glassware.,2.00,cat/3624.jpg,Glass; blue; glassware; goblet; stem; tumblr; water,1
Blue Stemmed Water Goblet 8 ounce (crate of 25),Glassware,Glassware.,2.00,cat/2657.jpg,Glass; glassware; goblet; water,1
Blue Stemmed White Wine Glass 10 ounce (crate of 25),Glassware,Glassware.,2.00,cat/2946.jpg,Glass; Red; blue glass; glassware; goblet; red wine,1
Branch & Bloom,Specialty,Specialty.,12.00,cat/4097.jpg,bloom; branch; event decor; navy; seraphine,1
Bridal Wreath Lace,Specialty,Specialty.,12.00,cat/4084.jpg,White; antique white; bridal wreath; lace,1
Bus Tub,Table Service,Table Service.,3.00,cat/1987.jpg,bus; serve; tub,1
Calico -Grey and Gold,Specialty,Specialty.,12.00,cat/2253.jpg,Black; Gold; calico; silver,1
Calico -Mixed metal,Specialty,Specialty.,12.00,cat/2963.jpg,Gold; element; mixed metal,1
Ceremony Scissors,Conventions/Meetings/Events,Conventions/Meetings/Events.,12.00,cat/2237.jpg,ceremony; event; scissors,1
"Clear Plastic Pitcher, 60 oz",Serving Ware,Serving Ware.,6.00,cat/1892.jpg,beverage; dispenser; pitcher,1
Deja Lace,Specialty,Specialty.,12.00,cat/3688.jpg,White; deja; lace,1
Director's Chair,Chairs,Chairs.,8.00,cat/2138.jpg,Chair; director,1
Dotty-Light Blue,Specialty,Specialty.,12.00,cat/4118.jpg,Ivory; covington; dotty; laserlights; specialty,1
Dupioni -Burnt Orange,Dupioni,Dupioni.,12.00,cat/2787.jpg,Dupioni; orange,1
Emma Chair Whitewashed,Chairs,Chairs.,8.00,cat/3798.jpg,Chair; Emma; Wash; White; white wash,1
Emma Chair Whitewashed BARSTOOL,Chairs,Chairs.,8.00,cat/3799.jpg,Chair; Emma; Wash; White; bar height; barstool; white wash,1
Farm Table Bench,Chairs,Chairs.,8.00,cat/2711.jpg,,1
Full Gold 14' Round Bar,Bars & Shelving,Bars & Shelving.,60.00,cat/3848.jpg,Round; bar; piece; section,1
"Gallon, Hammered Silver",Serving Ware,Serving Ware.,6.00,cat/1854.jpg,bowl; gallon; punch; silver,1
Gasoline Generator Category: Portable Power WHISPER QUIET 70 AMPS,Equipment,Equipment.,12.00,cat/2677.jpg,generator; power,1
"Ghost Bar Stool *chairs are counter height, not bar height",Chairs,Chairs.,8.00,cat/2107.jpg,Chair; Ghost Chair; bar; bar height; clear; ghost; stool,1
Gold Rim,Glassware,Glassware.,2.00,cat/2470.jpg,18 oz; Wine Glass; crystal; gold rim; red wine,1
Gold/White Dipped -Teaspoon (sets of 10),Flatware,Flatware.,1.00,cat/3267.jpg,Gold; matte; teaspoon,1
Green Stemmed Water Goblet 8 ounce (crate of 25),Glassware,Glassware.,2.00,cat/3637.jpg,Glass; glassware; goblet; green; water,1
Hammered Silver,Serving Ware,Serving Ware.,6.00,cat/3376.jpg,bowl; hammered; silver; tub,1
Heat Lamp with Cutting Board,Catering Equipment,Catering Equipment.,40.00,cat/2213.jpg,board; catering; cutting; heat; lamp; warmer,1
Heirloom Lace,Specialty,Specialty.,12.00,cat/4109.jpg,create; creation; heirloom; lace,1
Heritage Velvet,Specialty,Specialty.,12.00,cat/4122.jpg,Heritage; antique blue; blue; lala; ou; velvet,1
Insulated Coffee Pourer,Serving Ware,Serving Ware.,6.00,cat/2124.jpg,64 ounce; Black; coffee; insulated; pitcher; pourer,1
Irish Coffee Mug (25),Glassware,Glassware.,2.00,cat/1914.jpg,Glass,1
Iron City: Cafe light Cake Backdrop,Lighting,Lighting.,45.00,cat/2742.jpg,backdrop; cake; cake backdrop; city; iron; iron city; pipe; pipe and drape,1
Iron City: Grid lighting,Lighting,Lighting.,45.00,cat/2737.jpg,city; iron; iron city; lighting; starburst,1
LARGE Water Goblet,Glassware,Glassware.,2.00,cat/3454.jpg,Glass; goblet; large; water,1
Lattice Laurel Napkins,Napkins,Napkins.,12.00,cat/4120.jpg,colette; green; lattice; olive; specialty,1
Lucca,Specialty,Specialty.,12.00,cat/4098.jpg,green; leaf; specialty,1
Matte Gold -Demitasse Spoon (sets of 10),Flatware,Flatware.,1.00,cat/2181.jpg,Gold; demitasse; matte; spoon,1
Matte Gold -Teaspoon (sets of 10),Flatware,Flatware.,1.00,cat/1934.jpg,Gold; matte; teaspoon,1
Maylen Napkins,Napkins,Napkins.,12.00,cat/4051.jpg,buta; green; light olive; olive; paisley,1
Melamine Marble Charger (Packs of 10),Chargers,Chargers.,3.00,cat/2150.jpg,charger; marble; melamine,1
Missing Polished Stainless Steel Pitcher,Serving Ware,Serving Ware.,6.00,cat/3402.jpg,beverage; dispenser; missing; pitcher; polished; stainless; steel,1
Missing Roll Top Chafer,Serving Pieces,Serving Pieces.,6.00,cat/3395.jpg,Rectangle; chafer; missing; rectangular; roll; roll top; top,1
"Missing Round Waiter Tray 16""",Table Service,Table Service.,3.00,cat/3403.jpg,Round; missing; serve; tray; waiter,1
Mountain View Gardens Column Drape,Drapery,Drapery.,12.00,cat/2764.jpg,,1
Napkin Ryder Stripe,Specialty,Specialty.,12.00,cat/4031.jpg,Stripe; blush; rhett; ryder,1
Patina Champagne,Specialty,Specialty.,12.00,cat/2556.jpg,,1
Paulette,Specialty,Specialty.,12.00,cat/4123.jpg,blue; cloud; cloud blue; paulette; pauline; tempo,1
Pinetree Country Club Doorway Drape-Sheer,Drapery,Drapery.,12.00,cat/2647.jpg,club; country; doorway; drape; pine; pinetree,1
Polished Stainless Steel Pitcher,Serving Ware,Serving Ware.,6.00,cat/2215.jpg,beverage; dispenser; pitcher; polished; stainless; steel,1
Polyester -Slate,Polyester,Polyester.,12.00,cat/1774.jpg,Polyester; Premium Polyester; blue; lastcheck; slate,1
Positano,Specialty,Specialty.,12.00,cat/3490.jpg,White; navy; specialty,1
Pursell Arbor Drape-Sheer Parted,Drapery,Drapery.,12.00,cat/2757.jpg,Arbor; drape; pursell; swag,1
Red Velour Rope,Conventions/Meetings/Events,Conventions/Meetings/Events.,12.00,cat/2114.jpg,Rope; chrome; silver; stanchion,1
Red Wine Glass,Glassware,Glassware.,2.00,cat/2155.jpg,Glass; Red; wine,1
Red Wine Glass 16oz,Glassware,Glassware.,2.00,cat/1829.jpg,Glass; Red; basic; wine,1
Regions Doorway Drape Ballroom Entrance,Drapery,Drapery.,12.00,cat/2704.jpg,doorway; doorway drape; drape; field; regions,1
Regions Doorway Drape Exiting Ballroom,Drapery,Drapery.,12.00,cat/2705.jpg,doorway; doorway drape; drape; field; regions,1
Reo Lace,Specialty,Specialty.,12.00,cat/3741.jpg,White; lace; reo,1
"Round Waiter Tray 16""",Table Service,Table Service.,3.00,cat/1985.jpg,Round; serve; tray; waiter,1
"Runner- 18""x120"" Reo Lace",Specialty,Specialty.,12.00,cat/3880.jpg,White; lace; reo,1
Salt & Pepper Set (Glass) Chrome Lid,Table Service,Table Service.,3.00,cat/1893.jpg,pepper; salt; shaker; tabletop,1
Scissor Serving Tongs,Serving Ware,Serving Ware.,6.00,cat/1877.jpg,fork; serve; serveware; stainless; steel; tongs,1
Serving Fork,Serving Ware,Serving Ware.,6.00,cat/1875.jpg,fork; stainless; steel,1
Serving Spoon,Serving Ware,Serving Ware.,6.00,cat/1876.jpg,serve; serveware; spoon; stainless; steel,1
"Silver Ice Bucket, Oval",Barware,Barware.,4.00,cat/2723.jpg,bar; barware; bucket; ice; ice bucket; silver; wine; wine bucket,1
Slotted Serving Spoon,Serving Ware,Serving Ware.,6.00,cat/3455.jpg,serve; serveware; spoon; stainless; steel,1
Small Salt & Pepper Set (Glass) Chrome Lid,Table Service,Table Service.,3.00,cat/3393.jpg,pepper; salt; shaker; small; tabletop,1
Sterno Burner,Serving Pieces,Serving Pieces.,6.00,cat/2262.jpg,burner; chafer; chafing; dish; hot; sterno,1
TJ Towers Doorway Drape-First Doorway Entering Ballroom,Drapery,Drapery.,12.00,cat/2703.jpg,TJ; TJtower; doorway; drape; tower,1
TJ Towers Doorway Drape-Second Doorway Entering Ballroom,Drapery,Drapery.,12.00,cat/2716.jpg,TJ; TJtower; doorway; drape; tower,1
Tolix Chair,Chairs,Chairs.,8.00,cat/2359.jpg,Chair; tolix,1
Vertigo,Specialty,Specialty.,12.00,cat/1560.jpg,Overlay; White; sheer,1
Waiter Tray Stand,Table Service,Table Service.,3.00,cat/1986.jpg,serve; stand; tray; waiter,1
Waiter Tray Stand Cover,Table Service,Table Service.,3.00,cat/3504.jpg,serve; stand; tray; waiter,1
Warren Shelf,Furniture,Furniture.,35.00,cat/2442.jpg,shelf; warren,1
White String Lights,Lighting,Lighting.,45.00,cat/2154.jpg,,1
White String Lights 30'x90' tent,Lighting,Lighting.,45.00,cat/3942.jpg,,1
White Wine Glass 12oz,Glassware,Glassware.,2.00,cat/1828.jpg,Glass; White; basic; wine,1
Wilton Banquette,Furniture,Furniture.,35.00,cat/2596.jpg,sofa,1
Wilton Banquette x 4 With Riser,Furniture,Furniture.,35.00,cat/2595.jpg,sofa,1
Wishbone Chair,Chairs,Chairs.,8.00,cat/2325.jpg,Chair; wishbone; wood,1
oz Double Old Fashioned Glass (25),Glassware,Glassware.,2.00,cat/1913.jpg,Glass; pilsner,1
oz Gold Rim All Purpose Glass (25),Glassware,Glassware.,2.00,cat/1905.jpg,Wine Glass,1
oz Gold Rim Champagne Flute (36),Glassware,Glassware.,2.00,cat/1906.jpg,champagne flute,1
oz Highball Glass (36),Glassware,Glassware.,2.00,cat/1685.jpg,Glass; Highball; collins,1
oz Martini (9),Glassware,Glassware.,2.00,cat/1911.jpg,Glass; martini,1
oz Pilsner Glass (25),Glassware,Glassware.,2.00,cat/1912.jpg,Glass; pilsner,1
oz Rocco Glass (25),Glassware,Glassware.,2.00,cat/1903.jpg,Glass; rocco; water,1
oz Rocco Red Wine Glass (25),Glassware,Glassware.,2.00,cat/1916.jpg,Glass; red wine; rocco,1
oz Rocco White Wine Glass (25),Glassware,Glassware.,2.00,cat/1917.jpg,Glass; rocco; white wine,1
oz Shot Glass (49),Glassware,Glassware.,2.00,cat/1915.jpg,Glass,1
oz Silver,Serving Ware,Serving Ware.,6.00,cat/1855.jpg,6 oz; ladle; oz; serving; silver,1
oz Stemless Champagne Flute (36),Glassware,Glassware.,2.00,cat/1909.jpg,champagne flute,1
oz Stemless Red Wine Glass (16),Glassware,Glassware.,2.00,cat/1908.jpg,Wine Glass,1
oz Stemless White Wine Glass (25),Glassware,Glassware.,2.00,cat/1907.jpg,Wine Glass,1
oz Water Goblet,Glassware,Glassware.,2.00,cat/1822.jpg,Glass; goblet; water,1
oz Wine Glass (25),Glassware,Glassware.,2.00,cat/1668.jpg,Wine Glass,1
Cleaning,Cleaning,Cleaning — available in 92 colours.,12.00,,,92
Satin Sashes,Sashes,Sashes — available in 54 colours.,12.00,,Satin; apple; green; sashes,54
Sashes Organza,Sashes,Sashes — available in 41 colours.,12.00,,Red; azalea; organza; sashes,41
Dupioni Napkin,Napkins,Napkins — available in 37 colours.,12.00,,Aubergine; Dupioni; Eggplant; napkin; purple,37
Runner Dupioni,Runners,Runners — available in 32 colours.,12.00,,Black; Dupioni; runner,32
Uplighting Package,Lighting,Lighting — available in 31 colours.,45.00,,light; package; up; uplight; uplighting; uplights,31
Specialty Napkin,Napkins,Napkins — available in 25 colours.,12.00,,floral; light blue; napkin; specialty,25
Stage,Stage,Stage — available in 24 colours.,120.00,,8ft; panel; platform; riser; stage,24
Dance Floor,Dance Floor,Dance Floor — available in 17 colours.,180.00,,dance; floor,17
Infrastructure,Infrastructure,Infrastructure — available in 17 colours.,75.00,,,17
Runner,Runners,Runners — available in 16 colours.,12.00,,runner; rust,16
Runner Lamour,Runners,Runners — available in 16 colours.,12.00,,Lamour; Satin; apple; green; runner,16
Sequin,Sequin,Sequin — available in 13 colours.,12.00,,Black; Sequin,13
Cake Stand,Catering Equipment,Catering Equipment — available in 12 colours.,40.00,,Square; cake; stand,12
Runner Satin,Runners,Runners — available in 12 colours.,12.00,,Satin; champagne; runner; tan,12
Rosey,Rosey,Rosey — available in 11 colours.,12.00,,Black; lastcheck; rosey,11
Tilford,Specialty,Specialty — available in 11 colours.,12.00,,Black; Gold; specialty; tilford,11
Velvet,Specialty,Specialty — available in 11 colours.,12.00,,Black; Hunter; velvet,11
Lamour Napkin,Napkins,Napkins — available in 10 colours.,12.00,,Lamour; blue; napkin,10
Spandex Chair Cover,Chair Cover,Chair Cover — available in 10 colours.,12.00,,Chair Cover; silver; spandex,10
Matte Velvet,Specialty,Specialty — available in 9 colours.,12.00,,cashmere; velvet,9
Napkin,Napkins,Napkins — available in 9 colours.,12.00,,bloom; dusty rose; floral; napkin; specialty,9
Organza,Organza,Organza — available in 9 colours.,12.00,,azalea; organza,9
Ceramic,Serving Ware,Serving Ware — available in 8 colours.,6.00,,Ceramic; White; oval; platter; serve; serving tray,8
Pillowcase Chair Cover,Chair Cover,Chair Cover — available in 8 colours.,12.00,,Black; Chair Cover; Pillowcase,8
Stage Skirt,Skirts,Skirts — available in 8 colours.,12.00,,skirting; stage,8
Stage Surrounds,Stage,Stage — available in 8 colours.,120.00,,White; stage; surrounds,8
Wooden Bar,Bars & Shelving,Bars & Shelving — available in 8 colours.,60.00,,Black; bar; wood,8
Clear Vinyl Tent Side Wall,Tent,Tent — available in 7 colours.,250.00,,Side; sidewall; tent; wall,7
Pressing,Cleaning,Cleaning — available in 7 colours.,12.00,,,7
Chiavari Chair Cushion Cover,Chairs,Chairs — available in 6 colours.,8.00,,Black; Chair; chiavari; cover; cushion,6
"Dinner Plate 10""",China,China — available in 6 colours.,2.00,,alabaster; dinner; plate,6
Drape,Drapery,Drapery — available in 6 colours.,12.00,,base; drape; drapery; plate,6
Morgan Stripe,Specialty,Specialty — available in 6 colours.,12.00,,Morgan; Stripe; blush; faux,6
Clean,Cleaning,Cleaning — available in 5 colours.,12.00,,,5
Damasco,Specialty,Specialty — available in 5 colours.,12.00,,White; antique; antique white; damasco; estate; shell; specialty,5
Florence Lace,Sequin,Sequin — available in 5 colours.,12.00,,Sequin; floral,5
Gold Capri,Flatware,Flatware — available in 5 colours.,1.00,,Gold; capri; dinner; flatware; fork,5
"Heirloom 7"" Soup Bowl",China,China — available in 5 colours.,2.00,,Black; bowl; heirloom; stoneware,5
Runner Sequin,Runners,Runners — available in 5 colours.,12.00,,Sequin; champagne; runner,5
Spandex,Spandex,Spandex — available in 5 colours.,12.00,,Black; spandex,5
Spandex Highboy,Spandex,Spandex — available in 5 colours.,12.00,,,5
Stage Steps,Stage,Stage — available in 5 colours.,120.00,,stage; stair; step,5
Trellis,Specialty,Specialty — available in 5 colours.,12.00,,Premium Polyester; White,5
Tulip,Specialty,Specialty — available in 5 colours.,12.00,,moss; tulip,5
Voile Runner,Runners,Runners — available in 5 colours.,12.00,,blush; runner; sheer; voile,5
Bar,Bars & Shelving,Bars & Shelving — available in 4 colours.,60.00,,,4
Bloom,Specialty,Specialty — available in 4 colours.,12.00,,Black; White; bloom; floral; specialty,4
Coffee Cup,China,China — available in 4 colours.,2.00,,White; coffee; cup; royal,4
Coffee Cup Saucer,China,China — available in 4 colours.,2.00,,White; coffee; royal; saucer,4
Fiori Lace,Specialty,Specialty — available in 4 colours.,12.00,,Sequin; blush; lace,4
Florence Brushed Stainless,Flatware,Flatware — available in 4 colours.,1.00,,dinner; florence; fork; stainless,4
"Heirloom 10.5"" Dinner Plate",China,China — available in 4 colours.,2.00,,Black; dinner; heirloom; plate; stone; stoneware,4
"Heirloom 8"" Salad/Dessert Plate",China,China — available in 4 colours.,2.00,,Black; Salad; dessert; heirloom; plate; stone; stoneware,4
Kingsford,Specialty,Specialty — available in 4 colours.,12.00,,Black; king; kingsford; specialty,4
Melamine,China,China — available in 4 colours.,2.00,,Black; Salad; dessert; melamine; plate,4
Noble,Specialty,Specialty — available in 4 colours.,12.00,,Ivory; noble,4
Runner Striped,Runners,Runners — available in 4 colours.,12.00,,Black; Stripe; White; runner,4
Runner Tilford,Runners,Runners — available in 4 colours.,12.00,,burgundy; runner; tilford,4
Rustic Linen,Burlap,Burlap — available in 4 colours.,12.00,,,4
"Salad/Dessert Plate 7.5""",China,China — available in 4 colours.,2.00,,White; bowl; ora; royal,4
Skirt,Skirts,Skirts — available in 4 colours.,12.00,,cleaning; skirt; specialty,4
Solstice,Specialty,Specialty — available in 4 colours.,12.00,,fuchsia; solstice; specialty,4
Square Dupioni,Dupioni,Dupioni — available in 4 colours.,12.00,,Dupioni; Square; fuchsia; pink; purple,4
Stage Stair,Stage,Stage — available in 4 colours.,120.00,,stage; stair; step,4
Stage Surround Cap,Stage,Stage — available in 4 colours.,120.00,,White; cap; stage; surrounds,4
Textured Velvet,Specialty,Specialty — available in 4 colours.,12.00,,caper; velvet,4
Virginia,Specialty,Specialty — available in 4 colours.,12.00,,blue; specialty; virginia,4
Allure,Specialty,Specialty — available in 3 colours.,12.00,,Mauve; allure; estate,3
Carafe,Serving Ware,Serving Ware — available in 3 colours.,6.00,,carafe; pitcher,3
Chiavari Chair Cushion,Chairs,Chairs — available in 3 colours.,8.00,,,3
Chopin Jacquard,Specialty,Specialty — available in 3 colours.,12.00,,Black; chopin; jacquard,3
Extension Cord,Conventions/Meetings/Events,Conventions/Meetings/Events — available in 3 colours.,12.00,,cord; electric; extension,3
Folding Bar,Bars & Shelving,Bars & Shelving — available in 3 colours.,60.00,,4ft; bar; folding; folding bar; riser,3
Imitation Burlap,Specialty,Specialty — available in 3 colours.,12.00,,brown; burlap; imitation; natural; specialty,3
Italian Crossback,Chairs,Chairs — available in 3 colours.,8.00,,Chair; driftwood,3
Laylani Lace,Specialty,Specialty — available in 3 colours.,12.00,,champagne; lace,3
Lillian,Specialty,Specialty — available in 3 colours.,12.00,,,3
Linen Rustic,Specialty,Specialty — available in 3 colours.,12.00,,,3
Matte Gold Pedestal,Catering Equipment,Catering Equipment — available in 3 colours.,40.00,,Gold; matte; pedestal; small,3
Melamine Platter,Serving Ware,Serving Ware — available in 3 colours.,6.00,,Square; platter,3
Non-Pleated Skirting,Skirts,Skirts — available in 3 colours.,12.00,,Black; non pleated; skirt; stage,3
Panama,Specialty,Specialty — available in 3 colours.,12.00,,Dupioni; Porcelain; blush; estate; moss,3
Propane Tank,Heating and Cooling,Heating and Cooling — available in 3 colours.,65.00,,,3
Regal,Specialty,Specialty — available in 3 colours.,12.00,,grey; purple; regal,3
Rice Bowl,China,China — available in 3 colours.,2.00,,White; butter; lemon; rice; royal,3
"Soup Bowl 9""",China,China — available in 3 colours.,2.00,,White; bowl; soup,3
Specialty Rustic Napkin,Napkins,Napkins — available in 3 colours.,12.00,,brown; burlap; napkin; natural; rustic; specialty,3
